"PROGRAM_KEY","p","dest_perm","n","adjscore","decile","exclude"
589,0.605203537551105,2,2,82.6168336727177,,
665,0.755385821658036,3,6,32.351283993183,,
687,0.59743361009949,14,18,56.7615621411814,8,
691,0.676914362261208,5,8,49.3838397610905,,
760,0.757112726794352,4,14,0,1,
788,0.65128522005087,5,6,57.2962682305948,,
1421,0.72009203026724,9,17,40.9805878668752,2,
1461,0.630712972613493,3,6,46.3321499576372,,
1815,0.626870867445765,3,3,79.7612436572925,,
1817,0.669928334407843,22,25,59.978571436473,5,
1821,0.550539861082145,3,4,58.0390048016465,,
1870,0.765515156347468,17,24,49.0892117313245,1,
1872,0.795980756221435,77,87,52.4430068697545,1,
1904,0.628160161456632,9,14,50.0462381006617,7,
1926,0.589186997144392,21,31,51.608156972494,9,
1928,0.570531971805427,6,13,47.5758445876639,10,
1936,0.701328355377168,46,70,49.5339697306674,3,
2908,0.694406944189718,23,29,52.295176072002,4,
2943,0.674398240053161,6,9,49.9863886062524,,
2969,0.588390560720421,7,15,46.9410621278479,9,
3087,0.643515377093234,18,30,49.5872797509956,7,
3088,0.745905171369703,8,14,41.9690866732954,2,
3110,0.654521786000031,11,14,53.8057762009464,6,
3158,0.632061351298488,3,7,41.09731158573,,
3194,0.627583469867926,27,33,57.7715532040013,7,
3282,0.616158140411274,2,3,50.5393303654929,,
3283,0.624076059307295,1,2,46.7189830004245,,
3284,0.659491516606818,7,11,49.8809019874114,5,
3376,0.640932255815493,4,7,48.9504644909591,,
3387,0.652237824025662,2,5,35.9750248067894,,
3450,0.734808366869738,11,14,50.6649249899099,2,
3553,0.704785033797307,37,55,49.7530316296956,2,
3627,0.483698380487322,0,1,3.1573829902111,,
3664,0.781009001599883,3,3,64.0197486809703,,
3697,0.700318276172726,12,12,71.3961090281014,3,
3720,0.67444580388321,12,15,53.5897327182987,4,
3721,0.730127588204822,0,3,0,,
3736,0.677774991399137,4,8,42.7645332379225,,
3737,0.647903475329369,3,4,52.2846510386908,,
3760,0.771392315138686,2,3,46.8903609076571,,
3778,0.678352391231415,3,4,51.176353144972,,
3839,0.718067096905266,11,18,47.1746685506721,2,
3841,0.778066871347887,0,10,0,,
3842,0.813213032410637,0,1,0,,
3844,0.76632480594534,1,1,65.246485057103,,
3938,0.617067985484677,7,13,48.6925302599506,8,
3943,,0,1,,,
3961,0.658250978578382,20,36,47.6559148281244,6,
3983,0.611653831271999,0,1,0,,
4011,0.790870216004309,10,13,49.8584397887221,1,
4146,0.72248241950698,14,15,61.0867229603031,2,
4183,0.585157452083167,9,12,55.5969652233247,9,
4184,0.618437132440123,4,6,50.4928723762048,,
4200,0.61118431549065,7,9,55.839423003111,,
4290,0.675521848296734,2,2,74.0168510109191,,
4461,0.805596159264764,17,24,46.9797593825805,1,
4477,0.631705279446302,1,2,46.2720818129835,,
4541,0.679751469105798,11,19,47.666063143586,4,
4555,0.623442736077137,4,9,43.1759817823808,,
4556,0.611950196972326,0,1,0,,
4569,0.699612954202058,14,15,62.9964316299352,3,
4570,0.702726936340086,12,12,71.1513924034391,3,
4614,,0,1,,,
5334,0.627893803624699,0,1,0,,
5405,0.666758391577187,23,27,57.7094685505553,5,
5545,0.609680024511377,3,4,54.1370070476405,,
5551,0.888108306358674,3,3,56.2994396539366,,
5588,0.671466159460239,4,6,49.9947789668391,,
5700,0.666109816146237,1,1,75.0626980537141,,
5708,0.538323295507828,19,53,43.4938160037017,10,
5814,0.641510740173144,3,9,29.3513569568457,,
5960,0.809290746917726,23,31,48.5302727808382,1,
6041,0.620660261377487,11,17,50.1479954179133,8,
6044,0.679486946076926,6,11,45.8755812097858,4,
6056,0.715462869311585,1,2,38.5977952659521,,
6101,0.705462453914144,2,5,27.547168971081,,
6164,,0,1,,,
6202,0.668080180619074,52,62,56.5647236819701,5,
6216,0.666390093557213,5,9,47.2371788988648,,
6225,0.68267916879277,1,3,21.8313579622089,,
6226,0.641423551932344,3,4,52.562799327623,,
6227,0.578985759232767,3,5,50.0905800891889,,
6234,0.682004417045856,2,3,49.9457643236866,,
6304,0.70751964929531,4,6,49.5967426028385,,
6339,0.658535669071865,21,26,54.9468703918401,5,
6355,0.628242769650925,1,1,79.5870679542907,,
6367,0.605543506027656,4,12,34.4891983145939,8,
6392,0.513949439388745,1,1,97.2858343020405,,
6415,0.696832121273121,7,16,34.0826310644052,4,
6442,0.578085402616053,5,8,50.4512003596795,,
6453,0.697919316820131,8,26,13.8859261864327,3,
6463,0.789667675246457,0,1,0,,
6496,0.645168030813072,1,5,6.71650108605556,,
6560,0.624651715398746,6,13,44.3261724125981,7,
6562,0.588070809422009,1,3,36.6062096587462,,
6649,0.562137021662462,3,7,46.3760784874636,,
6651,0.56095948384662,1,2,49.2455743052528,,
6855,0.696196603520451,13,21,48.5929617405554,4,
6859,0.703978880019958,8,8,71.0248580164543,,
6863,0.681384370352275,6,8,51.0843184976599,,
6888,0.644183738036152,9,26,30.6244470811752,6,
6901,0.604500565912234,1,2,47.7161650707696,,
6903,0.580793304400073,0,1,0,,
6904,0.736998813574122,2,3,48.7239924116923,,
6906,0.543853979803702,14,16,72.1015576857014,10,
6912,0.630973498695013,20,21,72.1826393266335,7,
6921,0.645198582227187,7,10,50.6559562009986,,
6922,0.588470391163062,6,8,55.3870199445322,,
6923,0.688279744345339,0,4,0,,
6924,0.661948178250825,7,12,48.6190693898135,5,
6926,0.60829337510563,2,5,40.8956925503934,,
6934,0.640238646062558,6,15,37.47149204528,7,
6951,0.564725091209868,2,5,44.48063900267,,
6990,0.572665940213347,21,28,56.4251823116363,10,
7000,0.651222544549538,24,30,54.8726635593647,6,
7015,0.544057657474231,5,10,49.6087467525726,,
7023,0.609098347461539,2,5,40.818444203977,,
7024,0.573655388946227,15,20,56.3574438593004,10,
7033,,0,1,,,
7183,0.483386754975073,0,1,3.21579928213527,,
7185,0.657664063296763,0,2,0,,
7190,0.589907677095393,27,85,34.6794636415099,9,
7191,0.602810828053923,10,32,32.3997827661175,8,
7223,0.594259182112076,22,29,55.6020326432686,9,
7224,0.585062775677388,6,9,51.3715349334581,,
7240,0.658240431785405,13,17,52.5193131868688,6,
7446,0.633343502116922,1,6,3.10745674852753,,
7447,0.592162633140674,1,1,84.4362632860051,,
7474,0.747420123164573,1,8,0,,
7506,0.72545458746454,5,5,68.922301773223,,
7514,0.868174285087558,6,6,57.5921227555794,,
7515,0.6956427861431,4,5,52.5718466531496,,
7526,0.597732955041287,3,5,50.0010687315104,,
7536,0.580587991177288,10,18,49.8713329599514,9,
7537,0.570801630857359,18,35,49.3481190546448,10,
7538,0.585363796409603,1,3,36.9147205769349,,
7544,0.582939784895835,0,1,0,,
7546,0.582409638264475,1,3,37.2457239308437,,
7598,0.571187815232952,3,5,50.1694635636305,,
7620,0.688097589058902,0,1,0,,
7635,0.596413006197487,1,1,83.8345231918765,,
7773,0.627386649905175,1,2,46.5292434403183,,
7833,0.767430354444187,0,1,0,,
7937,0.489153663808018,0,1,2.12320915773493,,
8213,0.813213032410637,0,1,0,,
8309,0.586575755251915,0,1,0,,
